element,atomic_number,Etot,Ekin,Ecoul,Eenuc,Exc,e_1s,e_2s,e_2p,e_3s,e_3p,e_3d,e_4s,e_4p,e_4d,e_4f,e_5s,e_5p,e_5d,e_5f,e_6s,e_6p,e_6d,e_7s,occ_1s,occ_2s,occ_2p,occ_3s,occ_3p,occ_3d,occ_4s,occ_4p,occ_4d,occ_4f,occ_5s,occ_5p,occ_5d,occ_5f,occ_6s,occ_6p,occ_6d,occ_7s
Ir,77,-457196.9352,457036.948,183422.4032,-1088968.177,-8688.109306,-69219.27239,-11487.54314,-11034.94731,-2664.622779,-2451.975211,-2054.052225,-552.2357638,-461.6841072,-295.4229454,-74.5140002,-79.16265737,-51.24853707,-9.120957344,0,-5.320125336,0,0,0,2,2,6,2,6,10,2,6,10,14,2,6,7,0,2,0,0,0
Pt,78,-471480.1622,471317.3421,189346.3143,-1123261.261,-8882.557029,-71105.97903,-11833.08908,-11373.28542,-2755.829577,-2539.070178,-2133.380056,-574.4500783,-481.5679842,-310.7397722,-82.66952477,-80.28790261,-51.2732178,-7.445960464,0,-4.389414293,0,0,0,2,2,6,2,6,10,2,6,10,14,2,6,9,0,1,0,0,0
Au,79,-486016.8809,485851.4474,195120.4994,-1157914.887,-9073.941103,-73021.97935,-12187.67984,-11720.64342,-2852.420393,-2631.53153,-2218.04774,-600.7827,-505.5508755,-330.1235038,-94.88131464,-84.73451524,-54.4906649,-8.292343422,0,-4.417333175,0,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,0,1,0,0,0
Hg,80,-500805.8144,500638.0336,200683.8374,-1192866.823,-9260.862619,-74967.98509,-12552.03124,-12077.73776,-2955.099974,-2730.064803,-2308.763454,-631.9278731,-534.3278689,-354.2710513,-111.846716,-93.15779985,-61.5514754,-12.31456727,0,-5.58206214,0,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,0,0,0
Tl,81,-515845.0961,515675.1001,206179.115,-1228252.701,-9446.610099,-76942.0833,-12924.13955,-12442.56884,-3061.884501,-2832.686151,-2403.535461,-665.9037651,-565.9173222,-381.2001738,-131.5873794,-103.7165252,-70.71504578,-18.35527732,0,-7.755789308,-2.762146184,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,1,0,0
Pb,82,-531138.8617,530966.6009,211758.857,-1264230.875,-9633.444239,-78942.35565,-13302.1048,-12813.23728,-3170.857178,-2937.479785,-2500.452214,-700.7838098,-598.3937308,-408.9878428,-152.1805483,-114.472778,-80.04656483,-24.55536447,0,-9.719553419,-3.859418123,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,2,0,0
Bi,83,-546688.0274,546513.4683,217418.9614,-1300799.07,-9821.387243,-80968.86644,-13685.98734,-13189.80406,-3282.074086,-3044.502221,-2599.571103,-736.6214776,-631.8114084,-437.6901681,-173.6833123,-125.4971174,-89.62442856,-31.00487118,0,-11.59556081,-4.903437379,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,3,0,0
Po,84,-562493.5459,562316.6602,223159.7661,-1337959.473,-10010.49889,-83021.62425,-14075.79276,-13572.27536,-3395.536995,-3153.755692,-2700.895204,-773.416714,-666.1711169,-467.3094899,-196.0988278,-136.8038021,-99.46801148,-37.72744415,0,-13.42958103,-5.929061738,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,4,0,0
At,85,-578556.3913,578377.1534,228982.6329,-1375715.342,-10200.83498,-85100.62474,-14471.51453,-13960.64506,-3511.235973,-3265.230646,-2804.415671,-811.1582265,-701.4622985,-497.8367196,-219.4185504,-148.3941112,-109.5819123,-44.72893383,0,-15.24351925,-6.951230251,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,5,0,0
Rn,86,-594877.5535,594695.9401,234889.1225,-1414070.173,-10392.4427,-87205.86118,-14873.14398,-14354.9049,-3629.159291,-3378.915709,-2910.121865,-849.8334704,-737.6730616,-529.2612992,-243.6321943,-160.266439,-119.966893,-52.00991166,0,-17.04983828,-7.97783422,0,0,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,0,0
Fr,87,-611448.5473,611264.9834,240475.2907,-1452609.807,-10579.01398,-89342.1485,-15285.46424,-14759.84339,-3754.072833,-3499.578452,-3022.782909,-894.1937172,-779.5553579,-566.3359422,-273.4920648,-177.1329542,-135.329843,-64.24583802,0,-22.90785109,-12.68586663,0,-2.072854559,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,0,1
Ra,88,-628275.2093,628089.6126,246142.9634,-1491741.11,-10766.6754,-91504.72346,-15703.72387,-15170.7074,-3881.226035,-3622.468174,-3137.649055,-939.4901989,-822.3609637,-604.3138672,-304.2523056,-194.2658144,-150.9470834,-76.73210914,0,-28.60869093,-17.27035935,0,-3.094805381,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,0,2
Ac,89,-645358.7589,645170.9296,252048.5096,-1531620.536,-10957.66262,-93691.80608,-16126.09003,-15585.66706,-4008.800905,-3745.766884,-3252.896541,-983.9163788,-864.2838594,-641.3889728,-334.1075229,-209.8835446,-165.0400508,-87.69554945,0,-32.57148511,-20.25953013,-3.749348065,-3.443628141,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,1,2
Th,90,-662701.5354,662511.4211,258063.3976,-1572126.074,-11150.2803,-95904.87234,-16554.07289,-16006.23024,-4138.300573,-3870.977792,-3370.032117,-1028.973917,-906.8263039,-679.0651507,-364.5615268,-225.5023089,-179.1273855,-98.66111224,0,-36.29370342,-23.04589445,-4.704739836,-3.697265472,2,2,6,2,6,10,2,6,10,14,2,6,10,0,2,6,2,2
Pa,91,-680319.7964,680126.8464,265125.2086,-1614211.254,-11360.59754,-98133.33731,-16976.37927,-16421.26282,-4257.676951,-3986.078364,-3477.102717,-1062.999388,-938.3283271,-705.6761721,-383.8369299,-230.3025607,-182.5835309,-99.59171444,-8.620920911,-35.02736714,-21.76246942,-3.877105524,-3.528037861,2,2,6,2,6,10,2,6,10,14,2,6,10,2,2,6,1,2
U,92,-698201.1197,698005.5593,271885.1284,-1656526.08,-11565.72701,-100392.4677,-17409.26608,-16846.80188,-4384.246116,-4108.34734,-3591.286864,-1102.825348,-975.6185659,-738.060198,-408.9180184,-240.115694,-190.9720121,-105.2039812,-9.974143149,-36.08164509,-22.38239922,-3.896398397,-3.563276606,2,2,6,2,6,10,2,6,10,14,2,6,10,3,2,6,1,2
